sondeur,source,date début,date fin,échantillon,Édouard Balladur,Jacques Chirac
Ipsos,Ipsos,1995-01-11,1995-01-11,,66,34
Ifop,Ifop,1995-01-19,1995-01-20,,64,36
Louis Harris,Louis Harris,1995-02-04,1995-02-05,,55,45
CSA,CSA,1995-02-06,1995-02-06,,61,39
Louis Harris,Louis Harris,1995-02-17,1995-02-18,,53,47
BVA,BVA,1995-02-17,1995-02-20,,50,50
CSA,CSA,1995-02-28,1995-03-01,,41,59
Louis Harris,Louis Harris,1995-03-01,1995-03-01,,49,51
Ifop,Ifop,1995-03-02,1995-03-03,,44,56
BVA,BVA,1995-03-02,1995-03-05,,41,59
Ipsos,Ipsos,1995-03-06,1995-03-06,,40,60
Louis Harris,Louis Harris,1995-03-10,1995-03-11,,36,64
Sofres,Sofres,1995-03-11,1995-03-13,,40,60
Louis Harris,Louis Harris,1995-03-15,1995-03-15,,35,65
Louis Harris,Louis Harris,1995-03-22,1995-03-22,,38,62
Ifop,Ifop,1995-03-23,1995-03-24,,38,62
Sofres,Sofres,1995-03-25,1995-03-27,,39,61
Ipsos,Ipsos,1995-04-11,1995-04-13,,41,59
