sondeur,source,date début,date fin,échantillon,Arlette Laguiller,Daniel Gluckstein,Olivier Besancenot,Robert Hue,Lionel Jospin,Christiane Taubira,Noël Mamère,Jean-Pierre Chevènement,Corinne Lepage,François Bayrou,Christine Boutin,Jacques Chirac,Alain Madelin,Jean Saint-Josse,Jean-Marie Le Pen,Bruno Mégret
CSA,,2002-04-03,2002-04-04,,8.5,0.5,1,4,18.5,0.5,8.5,8,1.5,4.5,1.5,22,3,5,11.5,1.5
Sofres,,2002-04-03,2002-04-04,,9,0,0.5,6,19,1,5.5,7,1,4,1.5,24,4,4,12,1
Ipsos,,2002-04-05,2002-04-06,,11,0,1,5,19,0.5,5,8.5,1,5,0.5,23,3.5,3.5,12,1.5
Ifop,,2002-04-05,2002-04-06,,8.5,0.5,1,5,17.5,1,8,8,1.5,5,1,21,3.5,4,13,1
CSA,,2002-04-10,2002-04-11,,8,0.5,1.5,5.5,19,1,6.5,7,1.5,5.5,1,21,3.5,3.5,12,3
Sofres,,2002-04-10,2002-04-11,,8,0.5,2.5,6,19,1.5,4.5,6,1.5,5,0.5,22,5,3,13,2
Ifop,,2002-04-11,2002-04-12,,8,0.5,3.5,5.5,17,2,7,8,2,6.5,0.5,19,3.5,4.5,9.5,3
Ifop,,2002-04-12,2002-04-13,,7,0.5,4,5.5,16.5,1.5,6.5,8.5,2,6.5,0.5,20,3.5,4,10.5,3
BVA,,2002-04-10,2002-04-13,,9,0.5,2,5,18,1.5,6,6,1.5,6,1,18.5,5,4,14,2
Sofres,,2002-04-13,2002-04-15,,8,0.5,2.5,6,18,1,5,6,1.5,6,1.5,20,5,3.5,13,2.5
Ipsos,,2002-04-15,2002-04-16,,7,0.5,2.5,5.5,18,1.5,6.5,6,1,5,1,22,4,3.5,13,3
Louis Harris,,2002-04-16,2002-04-17,,8,0,2,5,18,1,7,6,1,7,2,20,5,3,13,2
Ipsos,,2002-04-17,2002-04-18,,7,0.5,4,5,18,1,6.5,6.5,1,6,1,20,4,3,14,2.5
Sofres,,2002-04-17,2002-04-18,,6.5,0.5,4,6,18,1.5,6,6.5,1,6,1.5,19.5,5,4,12.5,1.5
CSA,,2002-04-17,2002-04-18,,7,0.5,3,5,18,2.5,5,6.5,1.5,6,1.5,19.5,3.5,4,14,2.5
BVA,,2002-04-18,2002-04-18,,8,0.5,3.5,5,18,2,5,6,1,6,1,19,5,4,14,2
