sondeur,source,date début,date fin,échantillon,Jacques Cheminade,Nathalie Arthaud,Philippe Poutou,Jean-Luc Mélenchon,Yannick Jadot,Benoît Hamon,Emmanuel Macron,François Fillon,Nicolas Dupont-Aignan,Marine Le Pen
Elabe,ELABE pour LES ECHOS et RADIO CLASSIQUE,2017-01-03,2017-01-04,995,0,1.5,1.5,14.5,1.5,6,23,26,2,24
Ipsos,©Ipsos CEVIPOF LE MONDE – EEF 2017 ,2017-01-10,2017-01-15,15921,0,1,1,14,2.5,7,21,25,2.5,26
Ipsos,Ipsos / Sopra Steria pour France 2,2017-01-20,2017-01-20,1443,0,1,1,13,2,8,20,26,2,27
Kantar,"Kantar Sofres – OnePoint pour Le Figaro, RTL et LCI",2017-01-26,2017-01-27,1032,0.5,0.5,0.5,10,2,15,21,22,3.5,25
Elabe,ELABE pour LES ECHOS et RADIO CLASSIQUE,2017-01-30,2017-01-31,993,0,0.5,0.5,10,1,17,23,20,1,27
BVA,BVA,2017-02-01,2017-02-02,640,0,0.5,0.5,11.5,1.5,17,22,20,2,25
OpinionWay,Sondage OpinionWay/ORPI pour Les Echos & Radio Classique,2017-02-03,2017-02-05,1700,0,0,1,11,2,14,23,20,3,26
Elabe,ELABE pour BFMTV et L’EXPRESS,2017-02-07,2017-02-08,961,0,0.5,0.5,13,1,15.5,23.5,18,2,26
OpinionWay,Sondage OpinionWay/ORPI pour Les Echos & Radio Classique,2017-02-06,2017-02-08,1454,0,0,1,13,1,16,21,20,4,24
Ipsos,©Ipsos CEVIPOF LE MONDE –EEF 2017 ,2017-02-07,2017-02-12,15874,0,0.5,0.5,12,2,14.5,23,18.5,3,26
OpinionWay,Sondage OpinionWay/ORPI pour Les Echos & Radio Classique,2017-02-09,2017-02-13,1422,0,0,0,11,2,15,22,21,3,26
Dedicated Research,Dedicated Research,2017-02-10,2017-02-14,2066,0,1.3,0.7,13.1,2.3,17,23,17.8,2.2,22.6
OpinionWay,Sondage OpinionWay/ORPI pour Les Echos & Radio Classique,2017-02-14,2017-02-16,1602,0,0,0,12,2,16,21,20,3,26
Ifop-Fiducial,"Ifop – Fiducial pour iTELE, Paris Match et Sud Radio",2017-02-17,2017-02-20,1838,0,0.5,0.5,12,2,15.5,22,20,2,25.5
Elabe,ELABE pour BFMTV et L’EXPRESS,2017-02-18,2017-02-20,1051,0,1,1,13,1,13,18.5,21,3.5,28
BVA,BVA,2017-02-19,2017-02-20,628,0,0.5,0.5,10.5,2,17,21,19,2,27.5
Harris Interactive,Harris Interactive pour France Télévisions l’Emission Politique,2017-02-20,2017-02-22,5249,0,1,1,13,2,14,20,21,3,25
OpinionWay,Sondage OpinionWay/ORPI pour Les Echos & Radio Classique,2017-02-20,2017-02-22,1615,0,0,1,11,2,13,22,21,4,26
Ifop-Fiducial,"Ifop – Fiducial pour iTELE, Paris Match et Sud Radio",2017-02-21,2017-02-24,1417,0.5,0.5,0.5,11,2,13,23.5,20.5,2.5,26
Odoxa,Sondage Odoxa pour Dentsu Consulting et France 2,2017-02-22,2017-02-23,920,0,0,1,12,1,13,25,19,2,27
