sondeur,source,date début,date fin,échantillon,Jacques Cheminade,Nathalie Arthaud,Philippe Poutou,Jean-Luc Mélenchon,Benoît Hamon,Emmanuel Macron,François Fillon,Nicolas Dupont-Aignan,Marine Le Pen
Kantar Sofres,Kantar Sofres – OnePoint,2017-02-23,2017-02-24,1005,0,1,0.5,10,14,25,20,2.5,27
Ifop-Fiducial,"Ifop – Fiducial pour iTELE, Paris Match et Sud Radio",2017-02-24,2017-02-28,1398,0,1,0.5,11.5,14,24,20.5,3,25.5
Elabe,ELABE pour BFMTV et L’EXPRESS,2017-02-28,2017-03-02,1591,0,1,1,12.5,12.5,24,19,3,27
BVA,BVA,2017-02-28,2017-03-02,1413,0,0.5,1,11.5,15.5,24,19,2.5,26
Odoxa,Sondage Odoxa pour Dentsu Consulting et France 2,2017-03-01,2017-03-02,943,0,0.5,1,10,14,27,19,3,25.5
OpinionWay,Sondage OpinionWay/ORPI pour Les Echos & Radio Classique,2017-02-27,2017-03-03,1500,0,0,1,11,15,24,19,3,27
Kantar Sofres,Kantar Sofres – OnePoint,2017-03-02,2017-03-04,1027,0,1,1,12,16,25,17,2,26
Ifop-Fiducial,"Ifop – Fiducial pour iTELE, Paris Match et Sud Radio",2017-03-02,2017-03-04,1822,0,0.5,0.5,12,14,25.5,18.5,2.5,26.5
Ipsos,©Ipsos CEVIPOF FJJ LE MONDE – EEF 2017,2017-03-01,2017-03-05,15887,0,1,1,11.5,14,25,17.5,3,27
Elabe,ELABE pour BFMTV et L’EXPRESS,2017-03-05,2017-03-06,1052,0,0.5,0.5,12,13.5,25.5,19,3,26
Ifop-Fiducial,"Ifop – Fiducial pour iTELE, Paris Match et Sud Radio",2017-03-03,2017-03-07,1390,0,0.5,0.5,11.5,14,25,19,3.5,26
Harris Interactive,Harris Interactive pour France Télévisions l’Emission Politique,2017-03-06,2017-03-08,4533,0,1,0,12,13,26,20,3,25
OpinionWay,Sondage OpinionWay/ORPI pour Les Echos & Radio Classique,2017-03-03,2017-03-09,1500,0,1,0,11,14,26,20,2,26
Ifop-Fiducial,"Ifop – Fiducial pour iTELE, Paris Match et Sud Radio",2017-03-08,2017-03-10,1379,0,0.5,0.5,12,13.5,25.5,19.5,2.5,26
BVA,BVA,2017-03-08,2017-03-10,1419,0,0.5,0.5,11.5,13.5,26,20,2,26
