sondeur,source,date début,date fin,échantillon,Jean-Luc Mélenchon,François Fillon
Dedicated Research,Dedicated Research,2017-02-10,2017-02-14,2066,53.88,46.12
Scan Research,Scan Research – Le Terrain  2017,2017-03-23,2017-03-27,621,63,37
Elabe,ELABE pour BFMTV et L’EXPRESS,2017-04-09,2017-04-10,807,59,41
Ipsos,©Ipsos. PRÉSIDENTIELLE 2017,2017-04-12,2017-04-13,1509,58,42
BVA,BVA,2017-04-12,2017-04-14,1439,58,42
Kantar Sofres, Kantar Sofres - OnePoint,2017-04-14,2017-04-17,1530,57,43
Elabe,ELABE pour BFMTV et L’EXPRESS,2017-04-16,2017-04-17,1438,57,43
Scan Research,Scan Research – Le Terrain  2017,2017-04-13,2017-04-15,642,60,40
Ipsos,Sopra Steria pour Le Monde et SciencePo,2014-04-16,2014-04-17,8274,58,42
BVA,BVA,2017-04-18,2017-04-19,1427,58,42
