sondeur,source,date début,date fin,échantillon,Emmanuel Macron,Marine Le Pen
Opinion Way,"Opinion Way pour Les Echos, Radio Classique, Kea Partners",2022-01-02,2022-01-05,1501,57,43
Opinion Way,"Opinion Way pour Les Echos, Radio Classique, Kea Partners",2022-01-02,2022-01-03,1059,58,42
Opinion Way,Opinion Way pour VSD,2021-12-21,2021-12-22,1048,58,42
Ifop,"Ifop pour Paris Match, LCI, Sud Radio",2022-01-06,2022-01-10,1502,58,42
Harris Interactive,Harris Interactive pour Challenges,2021-12-28,2021-12-31,2183,55,45
Opinion Way,"Opinion Way pour Les Echos, Radio Classique, Kea Partners",2022-01-02,2022-01-04,1568,57,43
Ipsos,"Ipsos pour Le Parisien, France Info",2022-01-05,2022-01-06,780,58,42
Elabe,"Elabe pour BFM TV, L'Express, SFR",2021-12-17,2021-12-20,1081,57,43
Opinion Way,"Opinion Way pour Les Echos, Radio Classique, Kea Partners",2022-01-04,2022-01-07,1561,57,43
Opinion Way,"Opinion Way pour Les Echos, Radio Classique, Kea Partners",2022-01-03,2022-01-06,1534,56,44
Opinion Way,"Opinion Way pour Les Echos, Radio Classique, Kea Partners",2022-01-07,2022-01-10,1644,57,43
